,mean,std,lower_95,upper_95
intercept,-0.01511343152807451,0.021082533822108864,-0.05653022121253868,0.027012176872660002
kospi_return,0.0574144897176217,0.028937084795446214,0.0008338051317064642,0.11245125296250866
oil_price_change,-0.06649034587083201,0.022458944660585484,-0.11193511556334623,-0.023768890591270783
usd_krw_change,-0.00023999921716885868,0.026585264001292224,-0.05260491610217281,0.05276183073931712
vix_change,-0.005935698330714949,0.028153158003721968,-0.05976375241316159,0.05052062316702972
materials_sector_return,0.008618493352333773,0.034224231491297934,-0.05948814976577589,0.07702052245703206
