,mean,std,lower_95,upper_95
intercept,-0.013142186058985778,0.01867247683150778,-0.049050497333898546,0.022356503105958984
kospi_return,0.04976701721691059,0.021473887476969624,0.010409824698362422,0.09548022340456298
oil_price_change,-0.0763645234882632,0.02167851058640584,-0.11777546912730241,-0.03341541438330732
usd_krw_change,0.011786850377754728,0.02214006887962774,-0.029460371168277207,0.058920797315216156
vix_change,-0.0040259027637545765,0.020958075941017226,-0.047014779114239326,0.039089372568717556
materials_sector_return,0.02647283434964633,0.02493555767965569,-0.024391336071194328,0.08319289606161695
news_score,0.20296537739115536,0.08967814188191754,0.0329901851572409,0.3790631941019332
