,mean,std,lower_95,upper_95
intercept,-0.012424750624411068,0.020099052718754222,-0.050777114597385035,0.026054855409827327
kospi_return,0.045206224905573605,0.027823331703121238,-0.009637291103506834,0.09892016414415918
oil_price_change,-0.07546629879164504,0.02233347695019462,-0.11888517620973311,-0.030478596872024456
usd_krw_change,0.00579668101299965,0.024675915795188713,-0.043591215655532256,0.0510445244562125
vix_change,0.0041482583729175035,0.026274299784731215,-0.046987726115424205,0.054124209303353016
materials_sector_return,0.027410793190026914,0.03272097918030377,-0.03933281223894026,0.09054861527558361
news_score,0.25876750059214404,0.13389524274475398,-0.009004424685915006,0.5212617985842197
