,mean,std,lower_95,upper_95
intercept,-0.015620807568968045,0.021842552402309808,-0.05789016149693016,0.029410152718355877
kospi_return,0.05863932685022874,0.029347387705406795,0.002181894808607003,0.11830452345072376
oil_price_change,-0.06715376041925149,0.023441582013529937,-0.11191481586476261,-0.019992609675331157
usd_krw_change,0.0015133266911892464,0.025680250154243727,-0.04964996554409051,0.05512476686787735
vix_change,-0.006755203476272653,0.027632154940829816,-0.05843847011922705,0.04647081560363673
materials_sector_return,0.009554886071861621,0.03326804012690224,-0.05775628119087507,0.07740757386018662
