,mean,std,lower_95,upper_95
intercept,-0.020639940138139252,0.022253762493284607,-0.06176294926740334,0.024553382396874802
kospi_return,0.056693912770002595,0.031777055394487906,-0.005389194629827642,0.11825280584302829
oil_price_change,-0.06461855255653799,0.024070012457705226,-0.11416048372712868,-0.019547470399174018
usd_krw_change,-0.0015149565898486892,0.02649506998005552,-0.05183626098452379,0.05083014612257095
vix_change,-0.004103739069904782,0.029349927829945537,-0.06404020158592115,0.05334605056443046
materials_sector_return,0.008438715858620828,0.034945737050024545,-0.061908830522376904,0.0757606476443448
