,mean,std,lower_95,upper_95
intercept,-0.01537961252294971,0.021168803450108697,-0.05587465756965198,0.027702100350458635
kospi_return,0.05755700845373998,0.029018220353319187,-0.0004914397736240005,0.11178168470442817
oil_price_change,-0.06665324389405422,0.023890728249767287,-0.11335205172166231,-0.019345321876498477
usd_krw_change,-0.0008312401585161004,0.027009806828709598,-0.05794045052188424,0.05099328543377495
vix_change,-0.00454609175716176,0.027470172074847036,-0.059418402045464606,0.04860114301421601
materials_sector_return,0.009597529701797064,0.0341616287271629,-0.05641110839349162,0.0781210854331467
